Publisher,IATI Organisation Identifier,Organization Type,HQ Country or Region,Datasets Count,Datasets Link
Oxfam Intermón,ES-CIF-G-8236803,International NGO,Spain,3,https://iatiregistry.org/publisher/oxfamintermon
United Nations Industrial Development Organization (UNIDO),XM-DAC-41123,Multilateral,(No country assigned),123,https://iatiregistry.org/publisher/unido
Savana Signatures,GH-DSW-4711,National NGO,Ghana,1,https://iatiregistry.org/publisher/savsign-org
Unilever,GB-COH-00041424,Public Private Partnership,(No country assigned),1,https://iatiregistry.org/publisher/ul
Development Organisation of the Rural Poor,BD-NAB-0682,National NGO,Bangladesh,1,https://iatiregistry.org/publisher/dorp-org
Institut de Formation Syndical International - Internationaal Syndicaal Vormingsinstituut,BE-BCE_KBO-0453072647,National NGO,Belgium,13,https://iatiregistry.org/publisher/ifsi_isvi
the center for victimized women and children,MW-CNM-C057/1998,National NGO,Malawi,1,https://iatiregistry.org/publisher/cavwoc
equileap,NL-KVK-65306198,International NGO,Netherlands,2,https://iatiregistry.org/publisher/equileap
Family Life Education Program,UG-NGB-1826,National NGO,Uganda,1,https://iatiregistry.org/publisher/flepuganda
University College London,GB-COH-RC000631,"Academic, Training and Research",United Kingdom,1,https://iatiregistry.org/publisher/ucl
Chama cha Uzazi na Malezi Bora Tanzania (UMATI),TZ-TRA-101-304-795,National NGO,"Tanzania, United Republic of",1,https://iatiregistry.org/publisher/umati
Centre for the Study of Adolescence,KE-NCB-218/051/96110/823,"Academic, Training and Research",Kenya,1,https://iatiregistry.org/publisher/csa-kenya
United States Department of Labor,US-GOV-17,Government,United States,60,https://iatiregistry.org/publisher/dol
Joshua Orphan and Community Care,GB-CHC-1114727,International NGO,(No country assigned),2,https://iatiregistry.org/publisher/jocc_uk
Royal Netherlands Football Association,NL-KVK-40478591,Other Public Sector,Netherlands,2,https://iatiregistry.org/publisher/knvb
Light For The World Belgium,BE-BCE_KBO-0460240749,National NGO,Belgium,3,https://iatiregistry.org/publisher/lftw-be
Voluntary Health Association of India,IN-MHA-231650063,"Academic, Training and Research",(No country assigned),1,https://iatiregistry.org/publisher/vhai-org
ADRA Denmark,DK-CVR-20074035,National NGO,Denmark,2,https://iatiregistry.org/publisher/adra-dk
ADS-Nyanza,KE-RCO-78260,Other Public Sector,Kenya,1,https://iatiregistry.org/publisher/ads-nyanza
Solidaridad South & South-East Asia,HK-CR-1494242,International NGO,India,2,https://iatiregistry.org/publisher/solidaridad-ssea
Solidaridad West Africa,GH-DSW-5574,International NGO,Ghana,2,https://iatiregistry.org/publisher/solidaridad-waf
Fiabel,XI-IATI-FIABEL,National NGO,Belgium,3,https://iatiregistry.org/publisher/fiabel
CARE SOMALIA,KE-NCB-218/051/9384/74,National NGO,Kenya,2,https://iatiregistry.org/publisher/csom1
D. Capital Partners,GB-COH-07627789,Public Private Partnership,United Kingdom,1,https://iatiregistry.org/publisher/dcapitalpartners
The Princess Alia Foundation,JO-MSD-2009011100178,Foundation,Jordan,1,https://iatiregistry.org/publisher/paf_2018
Irise International,GB-CHC-1157722,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/irise_int
"Iringa Development of Youth, Disabled and Children Care",TZ-TRA-102316134,National NGO,"Tanzania, United Republic of",2,https://iatiregistry.org/publisher/idydc
Babawatoto Centre For Children and Youth,TZ-TRA-116315386,National NGO,"Tanzania, United Republic of",1,https://iatiregistry.org/publisher/bawacecy-tz
Railway Children Africa,TZ-TRA-110-664-087,National NGO,"Tanzania, United Republic of",1,https://iatiregistry.org/publisher/rc2africa
United States Department of the Treasury,US-GOV-6,Government,United States,98,https://iatiregistry.org/publisher/treasury
"The Global Development Incubator, Inc",US-EIN-14-1945286,International NGO,United States,2,https://iatiregistry.org/publisher/gdi
CHEKA SANA TANZANIA,TZ-TRA-121406209,National NGO,"Tanzania, United Republic of",1,https://iatiregistry.org/publisher/cst
Worldwide Hospice Palliative Care Alliance,GB-COH-06735120,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/whpca
The University of Manchester,GB-COH-RC000797,"Academic, Training and Research",United Kingdom,2,https://iatiregistry.org/publisher/uom
INTERSOS Onlus,IT-CF-97091470589,International NGO,Italy,1,https://iatiregistry.org/publisher/intersos_main
UK – Department for Education,GB-GOV-14,Government,United Kingdom,2,https://iatiregistry.org/publisher/dfe
GiveDirectly,US-EIN-27-1661997,International NGO,United States,3,https://iatiregistry.org/publisher/givedirectly
Karuna Mission Social Solidarity - KMSS,MM-MHA-1/Local/0047,National NGO,Myanmar,1,https://iatiregistry.org/publisher/kmss
Mastercard Foundation,CA-CRA_ACR-817387277,Foundation,Canada,2,https://iatiregistry.org/publisher/mastercard-foundation
BRAC,BD-NAB-002,International NGO,Bangladesh,2,https://iatiregistry.org/publisher/brac_admin2
Royal College of General Practitioners (RCGP),GB-CHC-223106,National NGO,United Kingdom,1,https://iatiregistry.org/publisher/rcgp-international
Brigham and Women's Hospital,US-EIN-042312909,"Academic, Training and Research",United States,2,https://iatiregistry.org/publisher/bwh
FHI360,US-EIN-237413005,International NGO,United States,2,https://iatiregistry.org/publisher/fhi360
World Agroforestry Centre,XM-DAC-47056,"Academic, Training and Research",Kenya,2,https://iatiregistry.org/publisher/icraf_
Abt Britain Limited,GB-COH-10633588,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/abtbritain
Royal College of Obstetricians & Gynaecologists,GB-CHC-213280,"Academic, Training and Research",United Kingdom,1,https://iatiregistry.org/publisher/rcog_resilience_in_obstetric_skills
International Institute for Environment and Development,GB-COH-02188452,"Academic, Training and Research",United Kingdom,1,https://iatiregistry.org/publisher/iied
Northern Rangelands Trust,KE-KRA-P051311853T,National NGO,Kenya,3,https://iatiregistry.org/publisher/nrt-kenya
Alliance of Religions and Conservation,GB-CHC-1047608,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/alliance_of_religions_and_conservation
YWCA of Bangladesh,BD-NAB-051,National NGO,Bangladesh,1,https://iatiregistry.org/publisher/ywcabd
Women's Centre for Legal Aid and Counselling,PS-MOI-QR-209-HR,National NGO,"Palestine, State of",1,https://iatiregistry.org/publisher/wclac
Concern Worldwide,IE-CHY-20009090,International NGO,Ireland,1,https://iatiregistry.org/publisher/concern_worldwide
"Social Fund for Development, Yemen",XM-OCHA-FTS18563,Other Public Sector,Yemen,1,https://iatiregistry.org/publisher/sfd-yemen
International Fertilizer Development Center,US-EIN-63-0676451,International NGO,United States,2,https://iatiregistry.org/publisher/ifdc-us
Multilateral Investment Fund,XI-IATI-MIF,Multilateral,United States,27,https://iatiregistry.org/publisher/fomin
Marsa Sexual Health Center,LB-MOI-14739,Regional NGO,Lebanon,1,https://iatiregistry.org/publisher/marsa_welead
Acumen,US-EIN-134166228,International NGO,United States,1,https://iatiregistry.org/publisher/acumen
Consortium for Street Children,GB-CHC-1046579,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/csc
CINI,IN-MHA-147110006,National NGO,India,1,https://iatiregistry.org/publisher/cini_jhk
Afrikagrupperna Sweden,SE-ON-802007-2446,International NGO,Sweden,1,https://iatiregistry.org/publisher/afrikagrupperna
United Nations Office for the Coordination of Humanitarian Affairs (Specially-Designated Contributions),XI-IATI-OCHASDC,Multilateral,United States,4,https://iatiregistry.org/publisher/unocha-sdc
NORSAAC,GH-DSW-4834,National NGO,Ghana,1,https://iatiregistry.org/publisher/norsaac
Concordis International,GB-COH-04930461,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/concordis
Fundacion Acceso,CR-RPJ-3-006-125548,Regional NGO,Costa Rica,1,https://iatiregistry.org/publisher/fundacion-acceso
United States Federal Trade Commission,US-GOV-23,Government,United States,55,https://iatiregistry.org/publisher/ftc
PATH,US-EIN-91-1157127,International NGO,United States,2,https://iatiregistry.org/publisher/_path_
Water Integrity Network Association,DE-CR-VR32914,International NGO,Germany,2,https://iatiregistry.org/publisher/win
Musalaha Ministry of Reconciliation,IL-RA-580166452,"Academic, Training and Research",Israel,1,https://iatiregistry.org/publisher/mmr_admin2
CARE International Afghanistan,AF-MOE-22,International NGO,Afghanistan,2,https://iatiregistry.org/publisher/ciafg
Energy Saving Trust,GB-COH-02622374,Other Public Sector,United Kingdom,3,https://iatiregistry.org/publisher/energy_saving_trust
DKT - (Pakistan),PK-SEC-0080655,Private Sector,Pakistan,6,https://iatiregistry.org/publisher/dkt
Mzumbe University,XI-GRID-grid.442465.5,"Academic, Training and Research","Tanzania, United Republic of",2,https://iatiregistry.org/publisher/m_u
AIDSPAN,US-EIN-32-0060251,International NGO,United States,2,https://iatiregistry.org/publisher/aidspan
Kisumu Medical and Education Trust,KE-KRA-P051119468K,National NGO,Kenya,1,https://iatiregistry.org/publisher/kmet
International Trade Centre (ITC),XM-DAC-45001,International NGO,Switzerland,2,https://iatiregistry.org/publisher/itc
Oxfam Australia,AU-ACNC-18055208636,International NGO,Australia,34,https://iatiregistry.org/publisher/oau
Solidarites International,FR-RCS-389515180,International NGO,France,3,https://iatiregistry.org/publisher/solidarites-international
American Friends Service Committee,US-EIN-23-1352010,"Academic, Training and Research",United States,1,https://iatiregistry.org/publisher/afsc
BRAC University,XI-GRID-grid.52681.38,"Academic, Training and Research",Bangladesh,3,https://iatiregistry.org/publisher/bu
United States International Development Finance Corporation,US-GOV-22,Government,United States,20,https://iatiregistry.org/publisher/dfc
Transparency International Kenya,KE-RCO-84486,National NGO,Kenya,2,https://iatiregistry.org/publisher/ti_kenya
DeafKidz International,GB-CHC-1151219,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/dki1151219
AVT-L Association of Victims of Terrorism Lebanon,LB-MOI-853,National NGO,Lebanon,2,https://iatiregistry.org/publisher/avt-l
"Rehabilitation, Education and Community Health (REACH)",IQ-NGO-1Z2634,National NGO,Iraq,1,https://iatiregistry.org/publisher/reach-iraq
United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,Multilateral,Switzerland,10,https://iatiregistry.org/publisher/unhcr
DKT International,US-EIN-58-1593137,International NGO,United States,1,https://iatiregistry.org/publisher/dkti
Ministry of Foreign Affairs of  Japan,XM-DAC-701-2,Government,Japan,6,https://iatiregistry.org/publisher/mofa-jpn
AgResults Initiative,XI-IATI-AGR,Multilateral,(No country assigned),12,https://iatiregistry.org/publisher/agresults
"Institut National de l'Eau, Benin",BJ-IFU-4201710116446,"Academic, Training and Research",Benin,2,https://iatiregistry.org/publisher/ine_benin
Agence Nationale d'Approvisionnement en Eau Potable en Milieu Rural du Benin,BJ-IFU-4201710182326,Government,Benin,2,https://iatiregistry.org/publisher/anaepmr_benin
Universities UK,GB-COH-02517018,National NGO,United Kingdom,2,https://iatiregistry.org/publisher/uuk
Index Initiative Foundation,NL-KVK-70292388,Foundation,Netherlands,2,https://iatiregistry.org/publisher/iif
New York University,US-EIN-13-5562308,"Academic, Training and Research",United States,2,https://iatiregistry.org/publisher/nyu
Commune de Dangbo - Benin,BJ-IFU-4201710012551,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/dangbo
Commune de Adjarra - Bénin,BJ-IFU-6201810251129,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/adjarra
Commune de Parakou - Bénin,BJ-IFU-6201000068802,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/parakou
Commune de Toffo - Bénin,BJ-IFU-5200081145006,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/toffo
Commune de Toviklin - Bénin,BJ-IFU-6200901945503,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/toviklin
Commune de Kpomassè - Bénin,BJ-IFU-6201101182902,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/kpomasse
Commune de Zè - Bénin,BJ-IFU-6200801257400,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/ze
Commune de Allada - Bénin,BJ-IFU-6201501755307,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/allada
Commune de Aplahoué - Bénin,BJ-IFU-6201001076902,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/aplahoue
Commune de Lalo - Bénin,BJ-IFU-6200901944805,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/lalo
Third World Network Africa,GH-RGD-CG109732014,Regional NGO,Ghana,2,https://iatiregistry.org/publisher/twnafrica
Commune de Kétou - Bénin,BJ-IFU-6200901851300,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/ketou
Commune de Adjohoun - Bénin,BJ-IFU-5200801335602,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/adjohoun
Commune de Adja-Ouere - Bénin,BJ-IFU-6200901944008,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/adja-ouere
Commune de Pobè - Bénin,BJ-IFU-6201200579608,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/pobe
Commune de Bopa - Bénin,BJ-IFU-6200901944209,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/bopa
Commune de Akpro-Missérété - Bénin,BJ-IFU-6201001843703,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/akpro-misserete
Commune de Comè - Bénin,BJ-IFU-6201000370801,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/come
Commune de Avrankou - Bénin,BJ-IFU-6201300688700,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/avrankou
Commune de Ifangni - Bénin,BJ-IFU-6201100143407,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/ifangni
We Effect,SE-ON-802004-1524,International NGO,Sweden,1,https://iatiregistry.org/publisher/weeffect
Commune de Klouékanmè - Bénin,BJ-IFU-6201100034408,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/klouekanme
National Coalition of Human Rights Defenders - Kenya,KE-KRA-P051502549C,National NGO,Kenya,1,https://iatiregistry.org/publisher/nchrdk
Institute for Security Studies,ZA-NPO-006-981,International NGO,South Africa,1,https://iatiregistry.org/publisher/issafrica
Nepal Disabled Human Rights Center,NP-SWC-10136,National NGO,Nepal,2,https://iatiregistry.org/publisher/dhrc_nepal
Deloitte Touche Tohmatsu India LLP,IN-MCA-AAE-8458,Private Sector,India,2,https://iatiregistry.org/publisher/dttillp
DefendDefenders,UG-NGO-1406,"Academic, Training and Research",Uganda,2,https://iatiregistry.org/publisher/defenddefenders
Send a Cow Kenya,KE-NCB-2180511703310709,National NGO,Kenya,1,https://iatiregistry.org/publisher/sac_kenya
Global Rights Compliance Foundation,NL-KVK-70048436,Foundation,Netherlands,2,https://iatiregistry.org/publisher/grc2018
International Center for Transitional Justice,US-EIN-11-3580024,International NGO,United States,1,https://iatiregistry.org/publisher/ictj
CISU,DK-CVR-19348407,National NGO,Denmark,3,https://iatiregistry.org/publisher/cisu
Mukisa Foundation,UG-NGB-0498,National NGO,Uganda,1,https://iatiregistry.org/publisher/mukisa_foundation
Netherlands Organisation for Scientific Research (NWO),NL-KVK-27367015,Government,Netherlands,2,https://iatiregistry.org/publisher/nwo
Rainforest Alliance,US-EIN-13-3377893,International NGO,United States,1,https://iatiregistry.org/publisher/rainforest-alliance
British Asian Trust,GB-CHC-1127366,International NGO,United Kingdom,3,https://iatiregistry.org/publisher/b_a_t
Christian Blind Mission (UK) Ltd.,GB-CHC-1058162,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/cbm
The Nature Conservancy,US-EIN-53-0242652,International NGO,United States,4,https://iatiregistry.org/publisher/the_nature_conservancy
University of Nottingham,GB-COH-RC000664,"Academic, Training and Research",United Kingdom,1,https://iatiregistry.org/publisher/uni_of_nottingham
Women's Fund Asia,LK-DRC-GA139,Regional NGO,Sri Lanka,2,https://iatiregistry.org/publisher/wf-asia
Seefar,HK-CR-2091642,Private Sector,Hong Kong,2,https://iatiregistry.org/publisher/seefar
NAGAAD,SO-MPND-L43135002018MJ,National NGO,Somalia,2,https://iatiregistry.org/publisher/nagaad
Child.org,GB-CHC-1118528,International NGO,(No country assigned),2,https://iatiregistry.org/publisher/child-dot_org
Democratic Governance Facility,XI-IATI-DGF,Other Public Sector,Uganda,2,https://iatiregistry.org/publisher/dgf
Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),NP-SWC-8220,National NGO,Nepal,2,https://iatiregistry.org/publisher/ask
Timidria,NE-DGI-5355,National NGO,Niger,1,https://iatiregistry.org/publisher/timidria
Center for Church-Based Development,DK-CVR-12006004,International NGO,Denmark,4,https://iatiregistry.org/publisher/cku
Kwame Nkrumah University of Science and Technology,XI-GRID-grid.9829.a,"Academic, Training and Research",Ghana,2,https://iatiregistry.org/publisher/knust
Save the Children DK,DK-CVR-63407216,International NGO,Denmark,24,https://iatiregistry.org/publisher/redbarnet
Global Canopy,GB-CHC-1089110,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/globalcanopy
Water Finance Facility,NL-KVK-60633468,Private Sector,Netherlands,3,https://iatiregistry.org/publisher/wff
Pegasys Limited,GB-COH-10333897,Private Sector,United Kingdom,1,https://iatiregistry.org/publisher/pegasys-eu
International Committee of the Red Cross (ICRC),XM-DAC-21016,Multilateral,Switzerland,11,https://iatiregistry.org/publisher/icrc
World Wide Fund for Nature Denmark,DK-CVR-40781218,Foundation,Denmark,2,https://iatiregistry.org/publisher/wwfdk
Welthungerhilfe,DE-CR-RA000220-VR3810,International NGO,Germany,2,https://iatiregistry.org/publisher/whh
Direcção Provincial de Saúde de Nampula,MZ-NUIT-500004037,Government,Mozambique,1,https://iatiregistry.org/publisher/dps-nampula
International Centre of Insect Physiology and Ecology (icipe),KE-KRA-P051097200R,"Academic, Training and Research",Kenya,1,https://iatiregistry.org/publisher/icipe
CARE Danmark Fonden for Frivillig Ulandsbistand,DK-CVR-12921047,National NGO,Denmark,1,https://iatiregistry.org/publisher/12921047
Universiteit Leiden,NL-KVK-27368929,"Academic, Training and Research",Netherlands,3,https://iatiregistry.org/publisher/universiteit_leiden
Stichting Beheer Subsidiegelden DRA,NL-KVK-72849770,International NGO,Netherlands,2,https://iatiregistry.org/publisher/stichting-subsidiegelden-dra
Farm Concern International,KE-RCO-C110031,Regional NGO,Kenya,2,https://iatiregistry.org/publisher/fci
Dawuro Development Association,ET-CSA-0976,"Academic, Training and Research",Ethiopia,1,https://iatiregistry.org/publisher/dawuro_da
Danish Trade Union Development Agency (Ulandssekretariatet),DK-CVR-20453672,International NGO,Denmark,24,https://iatiregistry.org/publisher/loftf
ActionAid Denmark (Mellemfolkeligt Samvirke),DK-CVR-18243717,International NGO,Denmark,2,https://iatiregistry.org/publisher/aadk
Educate!,US-EIN-84-1648607,International NGO,United States,1,https://iatiregistry.org/publisher/educate
Responsible Mining Foundation,CH-FDJP-CHE232974628,Foundation,Switzerland,1,https://iatiregistry.org/publisher/rmf
Perhimpunan Pengembangan Media Nusantara,ID-KHH-0000871,National NGO,Indonesia,2,https://iatiregistry.org/publisher/ja_ppmn
Mission Øst,DK-CVR-14723692,International NGO,Denmark,2,https://iatiregistry.org/publisher/missioneast
King's College London,GB-COH-RC000297,"Academic, Training and Research",United Kingdom,2,https://iatiregistry.org/publisher/kingscollegelondon
Confederation of Danish Industry,DK-CVR-16077593,Private Sector,Denmark,2,https://iatiregistry.org/publisher/di
University Twente,NL-KVK-50130536,"Academic, Training and Research",Netherlands,2,https://iatiregistry.org/publisher/utwente
3F International,DK-CVR-31378028,National NGO,Denmark,1,https://iatiregistry.org/publisher/3fi
DUF - The Danish Youth Council,DK-CVR-13078513,National NGO,Denmark,2,https://iatiregistry.org/publisher/duf
50 Eight Limited,GB-COH-07291220,Private Sector,United Kingdom,1,https://iatiregistry.org/publisher/fifty_eight
Danish Family Planning Association,DK-CVR-58185728,National NGO,Denmark,2,https://iatiregistry.org/publisher/dfpa
ActionAid Rwanda,RW-RGB-61-RGB-NGO-2017,National NGO,Rwanda,2,https://iatiregistry.org/publisher/aar
Global Focus,DK-CVR-35429867,National NGO,Denmark,1,https://iatiregistry.org/publisher/globaltfokus
Geneva International Centre for Humanitarian Demining,CH-FDJP-CHE109506789,Foundation,Switzerland,2,https://iatiregistry.org/publisher/gichd
Disabled People's Organisations Denmark,DK-CVR-14766383,National NGO,Denmark,3,https://iatiregistry.org/publisher/dpod
The University of Oxford,GB-UKPRN-10007774,"Academic, Training and Research",United Kingdom,5,https://iatiregistry.org/publisher/oxford
Compassion UK,GB-CHC-1077216,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/comp_uk
INTRAC,GB-CHC-1016676,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/intrac
Special Hope Network,US-EIN-26-3933134,International NGO,United States,1,https://iatiregistry.org/publisher/shn
PositiveNegatives,GB-COH-08212556,Other Public Sector,United Kingdom,2,https://iatiregistry.org/publisher/posneg
Data4Development,NL-KVK-64763064,Private Sector,Netherlands,2,https://iatiregistry.org/publisher/d4d
Hope for Children,GB-CHC-1161729,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/hfc
WWF Sweden,SE-ON-802005-9823,International NGO,Sweden,1,https://iatiregistry.org/publisher/wwf-se
Mercy Corps Global,US-EIN-91-1148123,International NGO,United States,1,https://iatiregistry.org/publisher/mcg
African Revival,GB-CHC-1108718,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/africanrevival
Koninklijk Nederlands Meteorologisch Instituut,NL-KVK-30276595,Government,Netherlands,1,https://iatiregistry.org/publisher/knmi
Sehat Kahani (Community Innovation Hub),PK-SEC-0105957,Private Sector,Pakistan,1,https://iatiregistry.org/publisher/sehatkahanicih
Mercy Corps Netherlands,NL-KVK-70333564,International NGO,Netherlands,2,https://iatiregistry.org/publisher/mcn
International Indigenous Women Forum,PE-SUNARP-12623829,Foundation,Peru,3,https://iatiregistry.org/publisher/fimi_iiwf_2019
Association Centrafricaine de Traduction de la Bible et Alphabetisation,XI-IATI-ACATBA,National NGO,Central African Republic,2,https://iatiregistry.org/publisher/acatba
University Of Zimbabwe,XI-GRID-grid.13001.33,"Academic, Training and Research",Zimbabwe,2,https://iatiregistry.org/publisher/1-uz
Interpeace,CH-FDJP-CHE109994012,International NGO,Switzerland,2,https://iatiregistry.org/publisher/interpeace
Danish Red Cross,DK-CVR-20700211,National NGO,Denmark,2,https://iatiregistry.org/publisher/danishrc
Palliative Care Association of Malawi,MW-NBM-NGO/L/18/024,National NGO,Malawi,2,https://iatiregistry.org/publisher/pacam
NKHOMA MISSION HOSPITAL,MW-MRA-20123139,National NGO,Malawi,1,https://iatiregistry.org/publisher/nmhiati
David Gordon Memorial Hospital,MW-MRA-20120896,"Academic, Training and Research",Malawi,1,https://iatiregistry.org/publisher/dgmh
Particip GmbH,DE-CR-RA000243-HRB5459,Private Sector,Germany,1,https://iatiregistry.org/publisher/particip
Groupe Pivot Santé Population,ML-NIF-082208943A,"Academic, Training and Research",Mali,3,https://iatiregistry.org/publisher/gpsp-org
Plataforma Moçambicana da Água (PLAMA),MZ-NUIT-700179850,National NGO,Mozambique,2,https://iatiregistry.org/publisher/plama
ARQ International,NL-KVK-27310568,Foundation,Netherlands,1,https://iatiregistry.org/publisher/arq_intl
SolarNow Services (U) Ltd,UG-RSB-80010003259159/105066,Private Sector,Uganda,2,https://iatiregistry.org/publisher/solarnowsofa
Zambia Orphans Aid UK,GB-CHC-1145721,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/zoa_uk
International Media Support,dk-cvr-26487013,International NGO,Denmark,2,https://iatiregistry.org/publisher/ims
Village Enterprise,US-EIN-22-2852248,International NGO,United States,2,https://iatiregistry.org/publisher/villageenterprise
We World - GVC Onlus,IT-RI-97241280151,International NGO,Italy,1,https://iatiregistry.org/publisher/ww-gvc
Syria Relief,GB-CHC-1143797,National NGO,United Kingdom,1,https://iatiregistry.org/publisher/sr
Emissa,TR-MOI-27-019-074,National NGO,Turkey,1,https://iatiregistry.org/publisher/emissa
International Center for Not-for-Profit Law,US-EIN-52-1818273,International NGO,United States,3,https://iatiregistry.org/publisher/icnl_org
European Forest Institute,FI-PRO-1993025-9,"Academic, Training and Research",Finland,2,https://iatiregistry.org/publisher/efi
WSP USA Solutions Inc.,US-EIN-13-3622707,Private Sector,United States,2,https://iatiregistry.org/publisher/lbg
OpenNorth,CA-CRA_ACR-805837713,International NGO,Canada,2,https://iatiregistry.org/publisher/opennorth
PlanBørnefonden,DK-CVR-20356731,International NGO,Denmark,2,https://iatiregistry.org/publisher/plb
Edukans Foundation,NL-KVK-32092131,International NGO,Netherlands,2,https://iatiregistry.org/publisher/edukans_foundation
Institute for War & Peace Reporting,GB-CHC-1027201,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/iwpr
Near East Foundation UK (NEF UK),GB-CHC-1150993,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/nef-uk
Medecins du Monde France,FR-INSEE-32101874900127,International NGO,France,3,https://iatiregistry.org/publisher/mdm-fr
Centre for Legal Research and Development,NG-CAC-54522,National NGO,Nigeria,2,https://iatiregistry.org/publisher/clerd-prpi
The Fred Hollows Foundation (UK),GB-CHC-1140288,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/fhfuk
Radio La Benevolencija,NL-KVK-34176587,International NGO,Netherlands,1,https://iatiregistry.org/publisher/rlb
Stichting Liliane Fonds,NL-KVK-41081480,National NGO,Netherlands,2,https://iatiregistry.org/publisher/slf
living peace institute,XI-IATI-LPI,National NGO,Congo (Democratic Republic of the),1,https://iatiregistry.org/publisher/lpi
Heartland Alliance International,US-EIN-30-0739799,International NGO,United States,1,https://iatiregistry.org/publisher/ha-i
Irrawaddy Policy Exchange,JE-FSC-NPO_1108,"Academic, Training and Research",United Kingdom,1,https://iatiregistry.org/publisher/ipe
ACTIONAID INTERNATIONAL KENYA,KE-NCB-OP/218/051/924/84,International NGO,Kenya,2,https://iatiregistry.org/publisher/aaik
Instiglio,US-EIN-45-5015494,International NGO,United States,3,https://iatiregistry.org/publisher/instiglio
Niger Delta Stakeholders Initiative for Community Development and Empowerment,NG-CAC-73022,National NGO,Nigeria,1,https://iatiregistry.org/publisher/ndsicde
Germany - Federal Foreign Office,XM-DAC-5-7,Government,Germany,6,https://iatiregistry.org/publisher/fo_germany
IDinsight,US-EIN-27-4933181,International NGO,United States,2,https://iatiregistry.org/publisher/idinsight
Slovenia - Ministry of Foreign Affairs,XM-DAC-61-2,Government,Slovenia,16,https://iatiregistry.org/publisher/si-mfa
Global Fund to End Modern Slavery,US-EIN-47-3594688,National NGO,United States,2,https://iatiregistry.org/publisher/gfems
"Namati, Inc",US-EIN-45-2796201,International NGO,United States,2,https://iatiregistry.org/publisher/namati_inc
Grand Bargain Test,GB-COH-893249298,"Academic, Training and Research",(No country assigned),1,https://iatiregistry.org/publisher/wrgb
Netherlands Space Office,XI-IATI-NSO,"Academic, Training and Research",Netherlands,2,https://iatiregistry.org/publisher/nso
VisionFund International,US-EIN-22-3900800,International NGO,United States,2,https://iatiregistry.org/publisher/vfi
Center for International Studies and Cooperation,CA-CRA_ACR-118846575,International NGO,Canada,1,https://iatiregistry.org/publisher/ceci
AgDevCo,GB-COH-07026479,Private Sector,United Kingdom,1,https://iatiregistry.org/publisher/agdevco
World Vegetable Center,XM-DAC-47008,International NGO,Taiwan (Province of China),2,https://iatiregistry.org/publisher/worldveg
CDAC Network,GB-CHC-1178168,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/cdacnetwork
Regional Advisory Information and Network Systems,GH-DSW-1103,National NGO,Ghana,2,https://iatiregistry.org/publisher/rains
AFELT,KE-KRA-P051713416W,"Academic, Training and Research",Kenya,2,https://iatiregistry.org/publisher/afelt
Democracy Reporting International gGmbH,DE-CR-RA000217-HRB121747B,International NGO,Germany,3,https://iatiregistry.org/publisher/dri
CARE BENIN/TOGO,BJ-IFU-5201000673108,International NGO,United States,2,https://iatiregistry.org/publisher/carebenintogo
Westminster Foundation for Democracy,GB-COH-02693163,Other Public Sector,United Kingdom,2,https://iatiregistry.org/publisher/wfd
